frame_idx,x_pred,y_pred,dx,dir_label
0,233.4462432861328,247.61135864257807,0.49364471435546875,SAGA GIDIYOR
1,233.93988800048828,248.0952606201172,0.962066650390625,SAGA GIDIYOR
2,234.9019546508789,249.2496490478516,2.1094436645507812,SAGA GIDIYOR
3,237.0113983154297,252.6218032836914,1.1499252319335938,SAGA GIDIYOR
4,238.16132354736328,255.2782745361328,3.8997497558593466,SAGA GIDIYOR
5,242.06107330322263,261.56697845458984,5.634864807128963,SAGA GIDIYOR
6,247.6959381103516,267.92786407470703,5.607215881347599,SAGA GIDIYOR
7,253.3031539916992,276.60108184814453,8.662078857421903,SAGA GIDIYOR
8,261.9652328491211,287.37242126464844,11.418464660644531,SAGA GIDIYOR
9,273.3836975097656,298.7127685546875,16.167724609375,SAGA GIDIYOR
10,289.5514221191406,313.94175720214844,19.361984252929688,SAGA GIDIYOR
11,308.9134063720703,329.50408935546875,26.277206420898438,SAGA GIDIYOR
12,335.19061279296875,343.8926086425781,32.819091796875,SAGA GIDIYOR
13,368.00970458984375,358.8292541503906,38.50242614746094,SAGA GIDIYOR
14,406.5121307373047,368.0341339111328,43.41944885253906,SAGA GIDIYOR
15,449.93157958984375,376.4932708740234,42.27410888671875,SAGA GIDIYOR
16,492.2056884765625,368.94818115234375,38.59648132324219,SAGA GIDIYOR
17,530.8021697998047,358.4678955078125,32.89067077636719,SAGA GIDIYOR
18,563.6928405761719,344.13243103027344,26.443206787109375,SAGA GIDIYOR
19,590.1360473632812,330.88018798828125,19.42694091796875,SAGA GIDIYOR
20,609.56298828125,314.6291961669922,15.5404052734375,SAGA GIDIYOR
21,625.1033935546875,299.8661499023437,11.41943359375,SAGA GIDIYOR
22,636.5228271484375,287.07667541503906,8.90625,SAGA GIDIYOR
23,645.4290771484375,276.8310241699219,6.811981201171875,SAGA GIDIYOR
24,652.2410583496094,267.572265625,4.7618408203125,SAGA GIDIYOR
25,657.0028991699219,261.4145050048828,3.372161865234375,SAGA GIDIYOR
26,660.3750610351562,255.4572525024414,2.571533203125,SAGA GIDIYOR
27,662.9465942382812,251.70318603515625,1.38726806640625,SAGA GIDIYOR
28,664.3338623046875,249.015380859375,0.573974609375,SAGA GIDIYOR
29,664.9078369140625,247.49075317382807,-6.75189208984375,SOLA GIDIYOR
30,658.1559448242188,249.55905151367188,0.591552734375,SAGA GIDIYOR
31,658.7474975585938,250.70413208007807,0.2730712890625,SAGA GIDIYOR
32,659.0205688476562,252.50289916992188,-0.240478515625,SOLA GIDIYOR
33,658.7800903320312,254.9888916015625,-1.22930908203125,SOLA GIDIYOR
34,657.55078125,258.3254089355469,-2.50457763671875,SOLA GIDIYOR
35,655.0462036132812,262.6761779785156,-4.55877685546875,SOLA GIDIYOR
36,650.4874267578125,268.6045227050781,-5.957763671875,SOLA GIDIYOR
37,644.5296630859375,276.0883178710937,-8.4329833984375,SOLA GIDIYOR
38,636.0966796875,285.94390869140625,-10.253662109375,SOLA GIDIYOR
39,625.843017578125,297.9990234375,-13.1456298828125,SOLA GIDIYOR
40,612.6973876953125,311.91357421875,-17.10919189453125,SOLA GIDIYOR
41,595.5881958007812,326.3846435546875,-23.890869140625,SOLA GIDIYOR
42,571.6973266601562,340.7938537597656,-32.1732177734375,SOLA GIDIYOR
43,539.5241088867188,354.763427734375,-39.05566406249994,SOLA GIDIYOR
44,500.4684448242188,365.9380493164063,-43.95550537109381,SOLA GIDIYOR
45,456.512939453125,370.83343505859375,-44.982666015625,SOLA GIDIYOR
46,411.5302734375,368.91607666015625,-40.46795654296869,SOLA GIDIYOR
47,371.0623168945313,358.8601379394531,-36.34503173828131,SOLA GIDIYOR
48,334.71728515625,342.6175537109375,-29.656463623046875,SOLA GIDIYOR
49,305.0608215332031,324.3671875,-19.99749755859375,SOLA GIDIYOR
50,285.0633239746094,309.16656494140625,-13.8275146484375,SOLA GIDIYOR
51,271.2358093261719,296.5177001953125,-11.153900146484375,SOLA GIDIYOR
52,260.0819091796875,285.21392822265625,-9.268585205078153,SOLA GIDIYOR
53,250.81332397460935,275.40972900390625,-7.466522216796847,SOLA GIDIYOR
54,243.3468017578125,267.145751953125,-5.388427734375,SOLA GIDIYOR
55,237.9583740234375,260.4354248046875,-3.76788330078125,SOLA GIDIYOR
56,234.19049072265625,255.19444274902344,-2.351638793945341,SOLA GIDIYOR
57,231.8388519287109,251.12632751464844,-1.4357604980468182,SOLA GIDIYOR
58,230.4030914306641,248.30615234375,-0.5504608154296875,SOLA GIDIYOR
59,229.8526306152344,246.30078125,-0.10101318359375,SOLA GIDIYOR
60,229.75161743164065,245.35629272460935,0.4612274169921591,SAGA GIDIYOR
61,230.2128448486328,245.61590576171875,1.2489471435546875,SAGA GIDIYOR
62,231.4617919921875,247.25396728515625,2.2778778076171875,SAGA GIDIYOR
63,233.7396697998047,250.26272583007807,3.0772094726562216,SAGA GIDIYOR
64,236.8168792724609,254.7938690185547,4.045974731445341,SAGA GIDIYOR
65,240.86285400390625,260.241943359375,4.838546752929716,SAGA GIDIYOR
66,245.70140075683597,266.8446655273437,6.042587280273381,SAGA GIDIYOR
67,251.74398803710935,274.8739013671875,7.954620361328153,SAGA GIDIYOR
68,259.6986083984375,285.0429382324219,11.7225341796875,SAGA GIDIYOR
69,271.421142578125,298.14129638671875,16.98590087890625,SAGA GIDIYOR
70,288.40704345703125,313.6856689453125,22.79656982421875,SAGA GIDIYOR
71,311.20361328125,330.8463134765625,29.2974853515625,SAGA GIDIYOR
72,340.5010986328125,347.3773193359375,36.22308349609381,SAGA GIDIYOR
