frame,t,x1,y1,x2,y2,cx,cy,conf,cls,width,height,fps,time_mode
0,0.0,862.8934936523438,441.67840576171875,1104.4127197265625,682.3236694335938,983.6531066894531,562.0010375976562,0.8910643458366394,32,1920,1080,59.93529919222022,cfr
1,0.016684658514723873,833.098388671875,440.18646240234375,1074.58740234375,682.0865478515625,953.8428955078125,561.1365051269531,0.876126766204834,32,1920,1080,59.93529919222022,cfr
2,0.033369317029447745,804.3468017578125,438.9057312011719,1044.1754150390625,678.6390991210938,924.2611083984375,558.7724151611328,0.886968731880188,32,1920,1080,59.93529919222022,cfr
3,0.05005397554417162,776.6969604492188,437.8656005859375,1015.5704956054688,678.7818603515625,896.1337280273438,558.32373046875,0.8962811231613159,32,1920,1080,59.93529919222022,cfr
4,0.06673863405889549,746.1426391601562,437.2001037597656,985.9830322265625,678.5687866210938,866.0628356933594,557.8844451904297,0.9115291833877563,32,1920,1080,59.93529919222022,cfr
5,0.08342329257361937,719.5931396484375,435.5384216308594,956.2177734375,676.6157836914062,837.9054565429688,556.0771026611328,0.8873510956764221,32,1920,1080,59.93529919222022,cfr
6,0.10010795108834324,690.148681640625,436.1991882324219,928.147705078125,676.8665771484375,809.148193359375,556.5328826904297,0.8967474699020386,32,1920,1080,59.93529919222022,cfr
7,0.11679260960306712,661.7923583984375,435.462890625,900.3814086914062,676.6060180664062,781.0868835449219,556.0344543457031,0.905536949634552,32,1920,1080,59.93529919222022,cfr
8,0.13347726811779098,636.514404296875,435.91094970703125,872.2095336914062,675.8787231445312,754.3619689941406,555.8948364257812,0.9114148020744324,32,1920,1080,59.93529919222022,cfr
9,0.15016192663251485,608.7010498046875,436.5868835449219,845.7025146484375,677.3853759765625,727.2017822265625,556.9861297607422,0.9180340766906738,32,1920,1080,59.93529919222022,cfr
10,0.16684658514723874,583.8202514648438,436.5753479003906,816.7012939453125,677.5875244140625,700.2607727050781,557.0814361572266,0.8712283372879028,32,1920,1080,59.93529919222022,cfr
11,0.1835312436619626,556.9097900390625,435.3104553222656,793.7255859375,676.6427001953125,675.3176879882812,555.9765777587891,0.8982091546058655,32,1920,1080,59.93529919222022,cfr
