frame_idx,x_pred,y_pred
0,381.64915466308594,265.55944061279297
1,381.4019927978516,265.5953598022461
2,380.4056243896485,265.4684753417969
3,379.1723937988281,265.41263580322266
4,377.4699249267578,265.39532470703125
5,375.28770446777344,265.2156524658203
6,372.3585205078125,265.4463882446289
7,369.7592315673828,265.1430969238281
8,366.2535095214844,265.33780670166016
9,362.34825134277344,265.2974548339844
10,357.99705505371094,265.0140075683594
11,353.2771759033203,264.7920455932617
12,349.0095672607422,264.5005798339844
13,343.87969970703125,263.9670486450196
14,338.4689178466797,263.1462936401367
15,332.8362274169922,262.7076797485352
16,327.19212341308594,261.8012084960937
17,321.03684997558594,261.61083984375
18,314.8203430175781,260.4002914428711
19,308.9725799560547,259.49891662597656
20,302.22804260253906,258.1639862060547
21,295.8715362548828,256.9006042480469
22,289.4280090332031,256.14752197265625
23,282.6690673828125,254.5002670288086
24,275.9718170166016,252.8381500244141
25,269.80943298339844,251.04930877685547
26,262.8964080810547,249.20523071289065
27,256.6723861694336,247.36937713623047
28,250.2190093994141,245.34534454345703
29,243.6413803100586,242.9568634033203
30,230.26817321777344,240.78143310546875
31,223.90501403808594,238.62954711914062
32,218.02407836914062,236.35791015625
33,212.7024688720703,234.12738037109375
34,207.92160034179688,231.87606811523438
35,203.66937255859375,229.6704559326172
36,199.8905029296875,227.47152709960938
37,196.49525451660156,225.31790161132812
38,193.4038848876953,223.1970672607422
39,190.5370330810547,221.1142120361328
40,187.7879638671875,219.09671020507812
41,185.0933837890625,217.17529296875
42,182.3871612548828,215.42596435546875
43,179.62423706054688,213.81610107421875
44,176.75637817382812,212.3699951171875
45,173.78915405273438,211.09153747558594
46,170.772216796875,209.9756622314453
47,167.7886505126953,209.02186584472656
48,165.0012664794922,208.26126098632812
49,162.6389923095703,207.72068786621094
50,160.86111450195312,207.3939208984375
51,159.78094482421875,207.2860107421875
52,159.41134643554688,207.38587951660156
53,159.69485473632812,207.68344116210938
54,160.55117797851562,208.15057373046875
55,161.87435913085938,208.76776123046875
56,163.54312133789062,209.47727966308594
57,165.52487182617188,210.3301239013672
58,167.7794952392578,211.31796264648438
59,170.25408935546875,212.4249267578125
60,172.89376831054688,213.6367950439453
61,175.6342315673828,214.90911865234375
62,178.51287841796875,216.26609802246094
63,181.54144287109375,217.75857543945312
64,184.70840454101562,219.321044921875
65,187.97479248046875,220.92263793945312
66,191.40838623046875,222.6277618408203
67,195.00814819335938,224.3739013671875
68,198.7720489501953,226.19241333007812
69,202.76766967773438,228.10455322265625
70,206.9243621826172,229.9894561767578
71,211.2969512939453,231.87986755371094
72,215.88096618652344,233.78506469726562
73,220.68833923339844,235.67742919921875
74,225.82510375976562,237.60916137695312
75,231.17431640625,239.44766235351562
76,236.69046020507812,241.24319458007812
77,242.35629272460938,243.0172119140625
78,248.15151977539062,244.7346649169922
79,254.0760498046875,246.4258270263672
80,260.089111328125,248.11141967773438
81,266.10833740234375,249.71743774414062
82,272.1651306152344,251.24359130859375
83,278.21258544921875,252.72775268554688
84,284.3067321777344,254.1405029296875
85,290.4932556152344,255.53561401367188
86,296.822509765625,256.91448974609375
87,303.21820068359375,258.14813232421875
88,309.67608642578125,259.2932434082031
