frame,t,x1,y1,x2,y2,cx,cy,conf,cls,width,height,fps,time_mode
32,0.5339090724711639,204.18218994140625,403.0591735839844,444.1139831542969,639.2813110351562,324.14808654785156,521.1702423095703,0.33937594294548035,29.0,1920,1080,59.93529919222022,cfr
33,0.5505937309858878,198.31796264648438,401.9519348144531,438.5792541503906,637.419677734375,318.4486083984375,519.6858062744141,0.5373214483261108,32.0,1920,1080,59.93529919222022,cfr
34,0.5672783895006117,193.77305603027344,400.8683166503906,433.7561950683594,635.995849609375,313.7646255493164,518.4320831298828,0.6382797956466675,32.0,1920,1080,59.93529919222022,cfr
35,0.5839630480153356,190.34994506835938,399.9136047363281,431.40032958984375,635.0003051757812,310.87513732910156,517.4569549560547,0.5333536267280579,32.0,1920,1080,59.93529919222022,cfr
36,0.6006477065300594,189.16397094726562,397.2400817871094,429.2486572265625,634.5143432617188,309.20631408691406,515.8772125244141,0.7028768658638,32.0,1920,1080,59.93529919222022,cfr
37,0.6173323650447833,188.78599548339844,397.2754211425781,428.8440246582031,633.7083129882812,308.8150100708008,515.4918670654297,0.6837978959083557,32.0,1920,1080,59.93529919222022,cfr
38,0.6340170235595072,189.55274963378906,396.9151611328125,429.3558654785156,633.3447875976562,309.45430755615234,515.1299743652344,0.7067081332206726,32.0,1920,1080,59.93529919222022,cfr
39,0.6507016820742311,190.57846069335938,397.0082702636719,430.7723693847656,633.637451171875,310.6754150390625,515.3228607177734,0.7025606632232666,32.0,1920,1080,59.93529919222022,cfr
40,0.667386340588955,193.53099060058594,397.3341979980469,432.5609436035156,633.9247436523438,313.0459671020508,515.6294708251953,0.7565933465957642,32.0,1920,1080,59.93529919222022,cfr
41,0.6840709991036789,197.59071350097656,399.57696533203125,436.1636657714844,634.4080810546875,316.87718963623047,516.9925231933594,0.6882121562957764,32.0,1920,1080,59.93529919222022,cfr
42,0.7007556576184026,203.23667907714844,400.5699462890625,441.57183837890625,635.3585815429688,322.40425872802734,517.9642639160156,0.48514196276664734,32.0,1920,1080,59.93529919222022,cfr
43,0.7174403161331265,208.9705352783203,401.80316162109375,446.6562194824219,636.9358520507812,327.8133773803711,519.3695068359375,0.6193442344665527,29.0,1920,1080,59.93529919222022,cfr
44,0.7341249746478504,215.11605834960938,403.00653076171875,454.07611083984375,637.197509765625,334.59608459472656,520.1020202636719,0.46018120646476746,29.0,1920,1080,59.93529919222022,cfr
45,0.7508096331625743,222.97535705566406,404.4401550292969,461.2611083984375,639.0086669921875,342.1182327270508,521.7244110107422,0.7415640354156494,32.0,1920,1080,59.93529919222022,cfr
46,0.7674942916772982,233.31051635742188,405.81866455078125,470.9048767089844,638.9872436523438,352.1076965332031,522.4029541015625,0.7174935936927795,32.0,1920,1080,59.93529919222022,cfr
47,0.7841789501920221,243.78396606445312,407.6911926269531,480.29052734375,639.55029296875,362.03724670410156,523.6207427978516,0.6556684374809265,32.0,1920,1080,59.93529919222022,cfr
48,0.8008636087067459,256.25787353515625,408.6896667480469,491.8083801269531,640.45263671875,374.0331268310547,524.5711517333984,0.5246955156326294,32.0,1920,1080,59.93529919222022,cfr
49,0.8175482672214698,268.9779968261719,410.28094482421875,504.2643127441406,640.7210693359375,386.62115478515625,525.5010070800781,0.5102890133857727,29.0,1920,1080,59.93529919222022,cfr
50,0.8342329257361937,282.2716369628906,411.01776123046875,517.2158203125,642.9668579101562,399.7437286376953,526.9923095703125,0.5505136251449585,32.0,1920,1080,59.93529919222022,cfr
51,0.8509175842509176,296.3269958496094,413.60302734375,530.395751953125,644.2308349609375,413.3613739013672,528.9169311523438,0.5237811207771301,32.0,1920,1080,59.93529919222022,cfr
52,0.8676022427656415,311.9299011230469,414.1611328125,545.7190551757812,646.0027465820312,428.82447814941406,530.0819396972656,0.6108062863349915,32.0,1920,1080,59.93529919222022,cfr
