frame_idx,pred_cx,pred_cy,angle,direction,speed_px
0,233.4462432861328,247.61135864257807,0.0,BEKLENIYOR...,0.0
1,233.93988800048828,248.0952606201172,0.0,BEKLENIYOR...,0.0
2,234.9019546508789,249.2496490478516,0.0,BEKLENIYOR...,0.0
3,237.0113983154297,252.6218032836914,0.0,BEKLENIYOR...,0.0
4,238.16132354736328,255.2782745361328,0.0,BEKLENIYOR...,0.0
5,242.06107330322263,261.56697845458984,0.0,BEKLENIYOR...,0.0
6,247.6959381103516,267.92786407470703,0.0,BEKLENIYOR...,0.0
7,253.3031539916992,276.60108184814453,0.0,BEKLENIYOR...,0.0
8,261.9652328491211,287.37242126464844,0.0,BEKLENIYOR...,0.0
9,273.3836975097656,298.7127685546875,0.0,BEKLENIYOR...,0.0
10,289.5514221191406,313.94175720214844,0.0,BEKLENIYOR...,0.0
11,308.9134063720703,329.50408935546875,0.0,BEKLENIYOR...,0.0
12,335.19061279296875,343.8926086425781,0.0,BEKLENIYOR...,0.0
13,368.00970458984375,358.8292541503906,0.0,BEKLENIYOR...,0.0
14,406.5121307373047,368.0341339111328,0.0,BEKLENIYOR...,0.0
15,449.93157958984375,376.4932708740234,0.0,BEKLENIYOR...,0.0
16,492.2056884765625,368.94818115234375,0.0,BEKLENIYOR...,0.0
17,530.8021697998047,358.4678955078125,0.0,BEKLENIYOR...,0.0
18,563.6928405761719,344.13243103027344,0.0,BEKLENIYOR...,0.0
19,590.1360473632812,330.88018798828125,0.0,BEKLENIYOR...,0.0
20,609.56298828125,314.6291961669922,0.0,BEKLENIYOR...,0.0
21,625.1033935546875,299.8661499023437,0.0,BEKLENIYOR...,0.0
22,636.5228271484375,287.07667541503906,0.0,BEKLENIYOR...,0.0
23,645.4290771484375,276.8310241699219,0.0,BEKLENIYOR...,0.0
24,652.2410583496094,267.572265625,0.0,BEKLENIYOR...,0.0
25,657.0028991699219,261.4145050048828,0.0,BEKLENIYOR...,0.0
26,660.3750610351562,255.4572525024414,0.0,BEKLENIYOR...,0.0
27,662.9465942382812,251.70318603515625,0.0,BEKLENIYOR...,0.0
28,664.3338623046875,249.015380859375,0.0,BEKLENIYOR...,0.0
29,664.9078369140625,247.49075317382807,0.0,BEKLENIYOR...,0.0
