frame,t,x1,y1,x2,y2,cx,cy,conf,cls,width,height,fps,time_mode
28,0.9333333333333333,208.22528076171875,203.6595001220703,292.2127380371094,287.03118896484375,250.21900939941406,245.34534454345703,0.9740065336227417,0,768,432,30.0,cfr
29,0.9666666666666667,201.5014190673828,200.8880615234375,285.7813415527344,285.0256652832031,243.6413803100586,242.9568634033203,0.9697880148887634,0,768,432,30.0,cfr
30,1.0,195.34849548339844,199.09963989257812,279.8547668457031,283.1788635253906,237.60163116455078,241.13925170898438,0.9735324382781982,0,768,432,30.0,cfr
31,1.0333333333333334,189.44464111328125,196.77711486816406,273.8620910644531,280.1648864746094,231.6533660888672,238.47100067138672,0.9714168310165405,0,768,432,30.0,cfr
32,1.0666666666666667,183.45242309570312,195.4929656982422,267.6813659667969,278.4542541503906,225.56689453125,236.9736099243164,0.9691148996353149,0,768,432,30.0,cfr
33,1.1,177.50709533691406,192.73126220703125,261.7672424316406,276.08331298828125,219.63716888427734,234.40728759765625,0.9694480895996094,0,768,432,30.0,cfr
34,1.1333333333333333,172.32876586914062,190.48480224609375,255.96299743652344,274.46759033203125,214.14588165283203,232.4761962890625,0.9694299101829529,0,768,432,30.0,cfr
35,1.1666666666666667,166.8460693359375,187.9746856689453,250.95880126953125,271.9422302246094,208.90243530273438,229.95845794677734,0.9677491188049316,0,768,432,30.0,cfr
36,1.2,161.90219116210938,186.2080078125,245.83616638183594,269.5201721191406,203.86917877197266,227.8640899658203,0.9705161452293396,0,768,432,30.0,cfr
37,1.2333333333333334,156.8448944091797,183.59727478027344,240.91578674316406,267.2770690917969,198.88034057617188,225.43717193603516,0.9751591682434082,0,768,432,30.0,cfr
38,1.2666666666666666,152.53309631347656,181.38124084472656,236.7386932373047,264.8334045410156,194.63589477539062,223.1073226928711,0.97648686170578,0,768,432,30.0,cfr
39,1.3,147.82151794433594,179.05247497558594,232.44056701660156,262.7762756347656,190.13104248046875,220.91437530517578,0.9741875529289246,0,768,432,30.0,cfr
40,1.3333333333333333,144.22398376464844,176.9373016357422,228.041748046875,260.7550354003906,186.13286590576172,218.8461685180664,0.975922703742981,0,768,432,30.0,cfr
41,1.3666666666666667,140.1147918701172,175.5399169921875,224.3756103515625,259.1739196777344,182.24520111083984,217.35691833496094,0.9743415117263794,0,768,432,30.0,cfr
42,1.4,136.894775390625,173.58641052246094,220.9940185546875,257.0518493652344,178.94439697265625,215.31912994384766,0.9702320694923401,0,768,432,30.0,cfr
43,1.4333333333333333,133.9378204345703,172.22589111328125,217.9764862060547,255.3842010498047,175.9571533203125,213.80504608154297,0.970018208026886,0,768,432,30.0,cfr
44,1.4666666666666666,131.42587280273438,170.386962890625,215.23118591308594,254.29190063476562,173.32852935791016,212.3394317626953,0.9707801342010498,0,768,432,30.0,cfr
45,1.5,129.07350158691406,168.8894500732422,213.26275634765625,253.0573272705078,171.16812896728516,210.973388671875,0.9706416130065918,0,768,432,30.0,cfr
46,1.5333333333333334,126.54540252685547,167.98435974121094,211.2734375,251.52392578125,168.90942001342773,209.75414276123047,0.9686830043792725,0,768,432,30.0,cfr
47,1.5666666666666667,125.31584930419922,167.33287048339844,209.14520263671875,250.7528076171875,167.23052597045898,209.04283905029297,0.9662384986877441,0,768,432,30.0,cfr
48,1.6,123.98743438720703,166.66824340820312,208.26516723632812,250.4634552001953,166.12630081176758,208.56584930419922,0.9719616174697876,0,768,432,30.0,cfr
