frame,t,cx,cy,cx_smooth,cy_smooth,speed_px_s,ax_px_s2,ay_px_s2
0,0.0,983.6531066894532,562.0010375976562,983.6531066894532,562.0010375976562,357.4870264001332,-8484.779443107313,-787.1257109894577
1,0.0166846585147238,953.8428955078124,561.1365051269531,977.6910644531251,561.8281311035156,499.4554088304379,-11617.46231078317,-757.9462148637584
2,0.0333693170294477,924.2611083984376,558.7724151611328,967.0050732421877,561.216987915039,745.8563002013705,-13362.979830398668,-310.1720187427536
3,0.0500539755441716,896.1337280273438,558.32373046875,952.830804199219,560.6383364257813,945.4219916531029,-10783.621174985277,-146.45084434032196
4,0.0667386340588954,866.0628356933594,557.8844451904297,935.477210498047,560.087558178711,1105.5892418243318,-8396.341516046206,-200.42745891320612
5,0.0834232925736193,837.9054565429688,556.0771026611328,915.9628597070314,559.2854670751954,1225.6665741160768,-6463.874442019005,235.5192072568234
6,0.1001079510883432,809.148193359375,556.5328826904297,894.5999264375002,558.7349501982422,1320.9451077739548,-4788.81013591322,316.5714470537308
7,0.1167926096030671,781.0868835449219,556.0344543457031,871.8973178589846,558.1948510277344,1385.1197343111824,-3304.161380306192,431.8496359576037
8,0.1334772681177909,754.3619689941406,555.8948364257812,848.3902480860158,557.7348481073439,1430.9150010314895,-2520.2898383698557,673.2080335599659
9,0.1501619266325148,727.2017822265625,556.9861297607422,824.1525549141253,557.5851044380236,1468.914978074155,-1656.8269780985647,186.3064392741976
10,0.1668465851472387,700.2607727050781,557.0814361572266,799.3741984723159,557.4843707818642,1486.1344105543567,-607.4904397607243,-392.4191565295698
11,0.1835312436619626,675.3176879882812,555.9765777587891,774.562896375509,557.1828121772492,1489.3098294779875,-275.55064400345145,-383.8523455768238
12,0.2002159021766864,650.1569213867188,555.2534027099609,749.6817013777511,556.7969302837915,1495.487167154379,-211.04826759410207,-410.62133441773005
13,0.2169005606914103,624.6052398681641,554.5777587890625,724.6664090758338,556.3530959848457,1496.6030538618998,666.813800914977,-616.5022418047131
14,0.2335852192061342,600.1053619384766,552.8489074707031,699.7541996483624,555.6522582820172,1473.7299306294603,1496.9936927871313,-874.2414694158624
15,0.2502698777208581,578.5453338623047,551.5754547119141,675.5124264911508,554.8368975679966,1447.6485251680544,1459.1719278314413,-1389.5877120311643
16,0.2669545362355819,555.4183807373047,548.3229522705078,651.4936173403817,553.5341085084989,1427.293408852296,1575.8194637315682,-1605.4250388884018
17,0.2836391947503058,533.9417724609375,544.7304534912109,627.9832483644929,551.7733775050413,1398.5787126394318,1862.9707904196766,-1207.3575849227077
18,0.3003238532650297,513.0056457519531,541.0479888916016,604.9877278419849,549.6282997823533,1368.5616028533145,2146.570519917732,-737.2025159301206
19,0.3170085117797536,492.691635131836,538.3140563964844,582.5285092999552,547.3654511051795,1329.6092555466146,2432.8459236443887,-387.02978627111725
20,0.3336931702944775,474.2463073730469,535.0462341308594,560.8720689145736,544.9016077103156,1289.1708511610416,2567.6258537812755,255.83497202099852
21,0.3503778288092013,455.4255828857422,533.0263824462891,539.7827717088073,542.5265626575103,1243.5076128585606,2679.1030999225695,581.5692544381759
22,0.3670624873239252,438.9463653564453,532.1927032470703,519.615490438335,540.4597907754223,1198.1909932234707,3031.709076415631,382.93140773073674
23,0.3837471458386491,421.63926696777344,529.8371276855469,500.0202457442227,538.3352581574472,1141.5565370492513,3512.7302676436593,540.0084604818171
24,0.4004318043533729,408.59278869628906,528.8808288574219,481.734754334636,536.4443722974422,1079.7451323259497,3195.7076126107204,781.5315755933234
25,0.4171164628680968,393.9069061279297,527.9488067626953,464.1691846932948,534.7452591904929,1032.8675478254847,3009.3658813997645,898.0225030321749
26,0.4338011213828207,380.38563537597656,527.5149536132812,447.41247482983124,533.2991980750505,977.0394515120506,3394.3460551722346,826.7563589997417
27,0.4504857798975445,368.6955337524414,527.5792999267578,431.6690866143533,532.155218445392,917.7156025606658,3652.214454541823,260.191400533482
28,0.4671704384122684,357.67284393310547,526.7522583007812,416.8698380781038,531.07462641647,854.8635949229136,3686.506616754552,-132.16854482909298
29,0.4838550969269923,348.69950103759766,524.9760131835938,403.2357706700026,529.8549037698948,795.4565593801968,3458.37638466878,30.46508744290236
30,0.5005397554417162,339.21775817871094,524.0948028564453,390.43216817174425,528.702883587205,739.8002624358772,3601.479251646644,134.1437925915984
31,0.51722441395644,331.5383071899414,523.1310272216797,378.65339597538366,527.5885123141,675.387588941482,3916.6862370151175,9.678961395780789
32,0.5339090724711639,325.4103469848633,522.0485076904297,368.0047861772796,526.4805113893659,609.7372436974646,3532.004268591576,-154.01890576460505
33,0.5505937309858878,320.142333984375,520.7424468994141,358.4322957386987,525.3328984913755,558.8589093972424,3234.3772168089818,-111.46590795009183
34,0.5672783895006117,313.82247161865234,519.1015930175781,349.51033091468946,524.0866373966161,503.1297225867947,4002.9493907718843,-58.59790455532993
35,0.5839630480153356,311.02223205566406,518.4192810058594,341.81271114288444,522.9531661184648,427.06601769578674,4515.92714263885,-89.45176232442509
36,0.6006477065300594,310.1151809692383,516.3249053955078,335.4732051081552,521.6275139738734,355.2140283848871,4256.136711604819,304.4546332361965
37,0.6173323650447833,309.2154922485352,515.8590850830078,330.2216625362312,520.4738281957003,285.7871322168135,3979.6480508015966,695.6605181769387
38,0.6340170235595072,309.99002838134766,515.6417083740234,326.1753357052545,519.507404231365,220.55630779701158,3859.438172427931,693.5998682649624
39,0.6507016820742311,310.608642578125,515.8159637451172,323.06199707982864,518.7691161341154,155.19632057956989,4178.77787743537,922.4053677946528
40,0.667386340588955,313.6269836425781,515.7216644287109,321.17499439237855,518.1596257930346,77.81170474531659,4372.047583743478,1269.4701475314982
41,0.6840709991036789,318.077262878418,517.8190612792969,320.55544808958643,518.091512890287,4.420293749817588,4230.42659713562,1106.812745658444
42,0.7007556576184026,322.9930953979492,518.7610321044922,321.042977551259,518.2254167331281,68.11177460501106,3980.7421492174717,814.3053597370605
