frame_idx,x_pred,y_pred,dx,dir_label
63,0.5864930748939514,2.039900302886963,0.01727461814880371,DURAGAN
64,0.6037676930427551,2.005914688110352,0.015464723110198975,DURAGAN
65,0.6192324161529541,1.9818037748336792,0.013007402420043945,DURAGAN
66,0.632239818572998,1.9653629064559937,0.01078265905380249,DURAGAN
67,0.6430224776268005,1.954940676689148,0.014358818531036377,DURAGAN
68,0.6573812961578369,1.9433082342147827,0.12720459699630737,DURAGAN
69,0.7845858931541443,1.781505107879639,0.13177406787872314,DURAGAN
70,0.9163599610328674,1.6206811666488647,0.08264183998107899,DURAGAN
71,0.9990018010139464,1.5109697580337524,0.05609208345413219,DURAGAN
72,1.0550938844680786,1.4250491857528689,0.04275989532470703,DURAGAN
73,1.0978537797927856,1.3275954723358154,0.05592250823974587,DURAGAN
74,1.1537762880325315,1.088680624961853,0.041022300720215066,DURAGAN
75,1.1947985887527466,0.93295556306839,0.022688865661621094,DURAGAN
76,1.2174874544143677,0.8363926410675049,0.014555931091308816,DURAGAN
77,1.2320433855056765,0.7628754377365112,0.018369436264037864,DURAGAN
78,1.2504128217697144,0.6951470971107483,0.11017775535583474,DURAGAN
79,1.360590577125549,0.449019581079483,0.15805721282959007,DURAGAN
80,1.5186477899551392,0.1452686190605163,0.1453486680984497,DURAGAN
81,1.6639964580535889,0.0016703531146049,0.07347166538238503,DURAGAN
82,1.737468123435974,-0.0546304360032081,0.05787575244903587,DURAGAN
83,1.7953438758850098,-0.0862805619835853,0.04739952087402299,DURAGAN
84,1.8427433967590328,-0.1108184084296226,0.003098130226135698,DURAGAN
85,1.8458415269851685,-0.110226459801197,-0.013942480087280495,DURAGAN
86,1.831899046897888,-0.0800189450383186,-0.019300222396850364,DURAGAN
87,1.8125988245010376,-0.0347702726721763,-0.016797542572021706,DURAGAN
88,1.795801281929016,0.0025345310568809,-0.012387990951537864,DURAGAN
89,1.783413290977478,0.0345533117651939,-0.007393598556518333,DURAGAN
90,1.7760196924209597,0.065006710588932,-0.00345122814178489,DURAGAN
91,1.7725684642791748,0.0931697413325309,-0.001953721046447754,DURAGAN
92,1.770614743232727,0.1151507049798965,-0.0020525455474853516,DURAGAN
93,1.7685621976852417,0.1301027238368988,-0.003328561782836914,DURAGAN
94,1.7652336359024048,0.1376678645610809,-0.005992412567138894,DURAGAN
95,1.759241223335266,0.1415917575359344,-0.015877366065978782,DURAGAN
96,1.743363857269287,0.147045761346817,-0.0314408540725708,DURAGAN
97,1.7119230031967163,0.1519690155982971,-0.02821338176727295,DURAGAN
98,1.6837096214294434,0.1472723484039306,-0.011789321899414062,DURAGAN
99,1.6719202995300293,0.1423699855804443,-0.003327965736389382,DURAGAN
100,1.66859233379364,0.1390502452850341,-0.00036120414733864514,DURAGAN
101,1.6682311296463013,0.1366893649101257,0.0007735490798950195,DURAGAN
102,1.6690046787261963,0.1342215836048126,0.002516627311706543,DURAGAN
103,1.6715213060379028,0.1281463205814361,0.01149892807006836,DURAGAN
104,1.6830202341079712,0.0985403805971145,0.030652284622192383,DURAGAN
105,1.7136725187301636,0.0129544362425804,0.030553460121154785,DURAGAN
106,1.7442259788513184,-0.076619803905487,0.02362227439880371,DURAGAN
107,1.767848253250122,-0.1474485397338867,0.017270922660827637,DURAGAN
108,1.7851191759109497,-0.1994809210300445,0.012418627738952637,DURAGAN
109,1.7975378036499023,-0.2364222705364227,0.008865714073181152,DURAGAN
110,1.8064035177230835,-0.2622525691986084,0.006245851516723633,DURAGAN
111,1.8126493692398071,-0.2805888950824737,0.004186034202575684,DURAGAN
112,1.8168354034423828,-0.2948271334171295,0.002331376075744851,DURAGAN
113,1.8191667795181277,-0.308166891336441,0.00035035610198907996,DURAGAN
114,1.8195171356201167,-0.3232162892818451,-0.0016959905624382987,DURAGAN
115,1.8178211450576784,-0.3403837978839874,-0.0028960704803469017,DURAGAN
116,1.8149250745773315,-0.3569377958774566,-0.0032095909118652344,DURAGAN
117,1.8117154836654663,-0.3713185489177704,-0.0029169321060182885,DURAGAN
118,1.808798551559448,-0.3829631507396698,-0.002318739891052024,DURAGAN
119,1.806479811668396,-0.3918822407722473,-0.0015673637390136719,DURAGAN
120,1.8049124479293823,-0.3981689512729645,-0.0006303787231447533,DURAGAN
121,1.8042820692062376,-0.4015950262546539,0.0005425214767460496,DURAGAN
122,1.8048245906829836,-0.4015780091285705,0.0019959211349482864,DURAGAN
123,1.806820511817932,-0.3970500230789184,0.003638267517090066,DURAGAN
124,1.810458779335022,-0.386391133069992,0.0043947696685791016,DURAGAN
125,1.814853549003601,-0.3708018660545349,0.0038144588470458984,DURAGAN
126,1.818668007850647,-0.3549339175224304,0.002824544906616211,DURAGAN
127,1.8214925527572632,-0.3415813744068146,0.0019390583038327858,DURAGAN
128,1.823431611061096,-0.3311258256435394,0.001180410385132058,DURAGAN
129,1.824612021446228,-0.3231481611728668,0.0004942417144775391,DURAGAN
130,1.8251062631607056,-0.316845953464508,-0.00025022029876708984,DURAGAN
131,1.8248560428619385,-0.3110383450984955,-0.0017963647842409447,DURAGAN
132,1.8230596780776975,-0.3020393550395965,-0.007922887802124023,DURAGAN
133,1.8151367902755735,-0.2735009491443634,-0.02312052249908425,DURAGAN
134,1.7920162677764893,-0.1980715990066528,-0.024743199348449707,DURAGAN
135,1.7672730684280396,-0.117926575243473,-0.021135568618774414,DURAGAN
136,1.7461374998092651,-0.0523263290524482,-0.018056869506835938,DURAGAN
137,1.7280806303024292,-0.0009472146630287,-0.015144586563110352,DURAGAN
138,1.7129360437393188,0.0385225340723991,-0.012364983558654785,DURAGAN
139,1.700571060180664,0.0684313103556633,-0.00981605052947998,DURAGAN
140,1.690755009651184,0.0908292159438133,-0.007561445236206055,DURAGAN
141,1.683193564414978,0.1074477061629295,-0.005603790283203125,DURAGAN
142,1.677589774131775,0.119722805917263,-0.003915548324584961,DURAGAN
143,1.67367422580719,0.1288509666919708,-0.0024336576461791992,DURAGAN
144,1.6712405681610107,0.1358704566955566,-0.0011550188064575195,DURAGAN
