frame,t,cx,cy,cx_smooth,cy_smooth,speed_px_s,ax_px_s2,ay_px_s2
20,0.3336931702944775,472.3134460449219,535.3668060302734,559.7576682069662,544.1452370896181,1295.8232207962374,2408.6350487554228,330.7139978807372
21,0.3503778288092013,453.90892028808594,533.8397369384766,538.5879186231901,542.0841370593898,1246.360932643046,3069.2021277523017,207.79565075125993
22,0.3670624873239252,437.4645080566406,532.2359466552734,518.3632365098803,540.1144989785666,1193.2250692896243,3152.470928141869,211.5149923680733
23,0.3837471458386491,421.4205780029297,529.841064453125,498.9747048084902,538.0598120734783,1140.9806921959218,3152.6660324158584,652.5441267540587
24,0.4004318043533729,406.4967651367188,529.357177734375,480.47911687413597,536.3192852056576,1086.4166670770899,3183.1831660280804,752.7387210763782
25,0.4171164628680968,392.4436340332031,528.5333709716797,462.87202030594943,534.7621023588621,1032.8857179992137,3336.214755661036,476.2794975361985
26,0.4338011213828207,379.20945739746094,527.7628631591797,446.13950772425176,533.3622545189256,974.1219802780487,3500.906511937872,348.7468253151919
27,0.4504857798975445,367.8632125854492,526.524658203125,430.48424869649125,531.9947352557656,915.4965233565825,3466.2976414330406,388.2018659196974
28,0.4671704384122684,356.55399322509766,525.9888458251953,415.69819760221253,530.7935573696516,857.7765532406354,3547.6820286048387,332.4840455876365
29,0.4838550969269923,346.9884033203125,525.1239471435547,401.9562387458326,529.6596353244322,796.5999029788264,3608.5141061067625,103.15082220659724
30,0.5005397554417162,338.2114028930664,524.3368835449219,389.2072715752794,528.5950849685302,737.5111680121638,3655.420263303913,-189.53386547432683
31,0.51722441395644,330.4026641845703,522.8166351318359,377.4463500971376,527.4393950011913,675.7608209561429,3756.2421411048017,-299.5406037450946
32,0.5339090724711639,324.1480865478516,521.1702423095703,366.7866973872804,526.1855644628671,613.9491101174359,3665.9399078351853,-162.67196210177417
33,0.5505937309858878,318.4486083984375,519.6858062744141,357.11907958951184,524.8856128251765,555.0186732879083,3719.557527972167,31.868424090085227
34,0.5672783895006117,313.7646255493164,518.4320831298828,348.44818878147277,523.5949068861178,490.8772923761681,4021.9128068594673,58.415567482756614
35,0.5839630480153356,310.8751373291016,517.4569549560547,340.93357849099857,522.3673165001052,422.19309535150586,4207.792978681382,94.10753194557674
36,0.6006477065300594,309.20631408691406,515.8772125244141,334.5881256101817,521.069295704967,352.13806879999595,4229.504445777893,399.95851256684455
37,0.6173323650447833,308.8150100708008,515.4918670654297,329.43350250230554,519.9538099770596,281.2147512365234,4087.778208397285,642.5646161652292
38,0.6340170235595072,309.45430755615234,515.1299743652344,325.43766351307494,518.9890428546945,214.35131330754479,3870.785133001701,737.980196909426
39,0.6507016820742311,310.6754150390625,515.3228607177734,322.4852138182725,518.2558064273103,149.87518142641946,3876.3902075641477,920.6311504138423
40,0.667386340588955,313.0459671020508,515.6294708251953,320.5973644750282,517.7305393068873,81.40820826213616,4136.868512955167,1066.1462269842118
