frame,t,x1,y1,x2,y2,cx,cy,conf,cls,width,height,fps,time_mode
0,0.0,207.814208984375,220.87777709960938,259.0782775878906,274.3449401855469,233.4462432861328,247.61135864257812,0.6217208504676819,0,898,506,30.0,cfr
1,0.03333333333333333,208.3968963623047,221.40200805664062,259.4828796386719,274.78851318359375,233.93988800048828,248.0952606201172,0.718885064125061,0,898,506,30.0,cfr
2,0.06666666666666667,209.6981964111328,223.12905883789062,260.105712890625,275.3702392578125,234.9019546508789,249.24964904785156,0.6717606782913208,0,898,506,30.0,cfr
3,0.1,210.50799560546875,226.13816833496094,263.5148010253906,279.1054382324219,237.0113983154297,252.6218032836914,0.8207910656929016,0,898,506,30.0,cfr
4,0.13333333333333333,212.47605895996094,229.72750854492188,263.8465881347656,280.82904052734375,238.16132354736328,255.2782745361328,0.7065393328666687,0,898,506,30.0,cfr
5,0.16666666666666666,215.2945098876953,234.7346649169922,268.82763671875,288.3992919921875,242.06107330322266,261.56697845458984,0.5942749977111816,0,898,506,30.0,cfr
6,0.2,221.46572875976562,241.9971160888672,273.9261474609375,293.8586120605469,247.69593811035156,267.92786407470703,0.7138683795928955,0,898,506,30.0,cfr
7,0.23333333333333334,226.55201721191406,250.65272521972656,280.0542907714844,302.5494384765625,253.30315399169922,276.60108184814453,0.6254815459251404,0,898,506,30.0,cfr
8,0.26666666666666666,235.8805694580078,260.8645324707031,288.0498962402344,313.88031005859375,261.9652328491211,287.37242126464844,0.8251115679740906,0,898,506,30.0,cfr
9,0.3,247.70956420898438,272.6636657714844,299.0578308105469,324.7618713378906,273.3836975097656,298.7127685546875,0.8261516690254211,0,898,506,30.0,cfr
10,0.3333333333333333,263.26666259765625,287.9744873046875,315.836181640625,339.9090270996094,289.5514221191406,313.94175720214844,0.8474226593971252,0,898,506,30.0,cfr
11,0.36666666666666664,282.3851013183594,302.6345520019531,335.44171142578125,356.3736267089844,308.9134063720703,329.50408935546875,0.895612895488739,0,898,506,30.0,cfr
12,0.4,310.3735656738281,317.26953125,360.0076599121094,370.51568603515625,335.19061279296875,343.8926086425781,0.9272971153259277,0,898,506,30.0,cfr
13,0.43333333333333335,342.3835144042969,333.11883544921875,393.6358947753906,384.5396728515625,368.00970458984375,358.8292541503906,0.8937504887580872,0,898,506,30.0,cfr
14,0.4666666666666667,380.7715148925781,342.8095703125,432.25274658203125,393.2586975097656,406.5121307373047,368.0341339111328,0.9150264859199524,0,898,506,30.0,cfr
15,0.5,423.5978088378906,345.8206481933594,476.2653503417969,407.1658935546875,449.93157958984375,376.49327087402344,0.9175405502319336,0,898,506,30.0,cfr
16,0.5333333333333333,467.06402587890625,343.82763671875,517.3473510742188,394.0687255859375,492.2056884765625,368.94818115234375,0.8948091864585876,0,898,506,30.0,cfr
17,0.5666666666666667,505.7033996582031,332.9842224121094,555.9009399414062,383.9515686035156,530.8021697998047,358.4678955078125,0.8773760199546814,0,898,506,30.0,cfr
18,0.6,537.8001708984375,318.0247497558594,589.5855102539062,370.2401123046875,563.6928405761719,344.13243103027344,0.9458122253417969,0,898,506,30.0,cfr
19,0.6333333333333333,563.3441772460938,303.94488525390625,616.9279174804688,357.81549072265625,590.1360473632812,330.88018798828125,0.6145166158676147,0,898,506,30.0,cfr
20,0.6666666666666666,584.3662719726562,288.2032775878906,634.7597045898438,341.05511474609375,609.56298828125,314.6291961669922,0.8098562955856323,0,898,506,30.0,cfr
21,0.7,599.287841796875,273.7504577636719,650.9189453125,325.9818420410156,625.1033935546875,299.86614990234375,0.7129127383232117,0,898,506,30.0,cfr
22,0.7333333333333333,610.522705078125,260.6545715332031,662.52294921875,313.498779296875,636.5228271484375,287.07667541503906,0.8316736221313477,0,898,506,30.0,cfr
23,0.7666666666666667,619.553955078125,251.17877197265625,671.30419921875,302.4832763671875,645.4290771484375,276.8310241699219,0.8740599155426025,0,898,506,30.0,cfr
24,0.8,625.3944702148438,242.36788940429688,679.087646484375,292.7766418457031,652.2410583496094,267.572265625,0.83432936668396,0,898,506,30.0,cfr
25,0.8333333333333334,631.3417358398438,235.21435546875,682.6640625,287.6146545410156,657.0028991699219,261.4145050048828,0.6422901153564453,0,898,506,30.0,cfr
26,0.8666666666666667,635.1178588867188,230.85362243652344,685.6322631835938,280.0608825683594,660.3750610351562,255.4572525024414,0.8780058026313782,0,898,506,30.0,cfr
27,0.9,636.4578857421875,224.73007202148438,689.435302734375,278.6763000488281,662.9465942382812,251.70318603515625,0.8871516585350037,0,898,506,30.0,cfr
28,0.9333333333333333,637.9033813476562,223.64422607421875,690.7643432617188,274.38653564453125,664.3338623046875,249.015380859375,0.8346302509307861,0,898,506,30.0,cfr
29,0.9666666666666667,639.1099853515625,221.58038330078125,690.7056884765625,273.401123046875,664.9078369140625,247.49075317382812,0.8536771535873413,0,898,506,30.0,cfr
30,1.0,639.6641845703125,221.3168487548828,690.806640625,273.0693359375,665.2354125976562,247.1930923461914,0.8423064947128296,0,898,506,30.0,cfr
31,1.0333333333333334,639.1011962890625,221.60302734375,690.7125854492188,273.4178466796875,664.9068908691406,247.51043701171875,0.8576599359512329,0,898,506,30.0,cfr
32,1.0666666666666667,637.9751586914062,223.59268188476562,690.7529907226562,274.40142822265625,664.3640747070312,248.99705505371094,0.8348405361175537,0,898,506,30.0,cfr
33,1.1,636.4442138671875,224.74383544921875,689.428955078125,278.6374816894531,662.9365844726562,251.69065856933594,0.8883152604103088,0,898,506,30.0,cfr
34,1.1333333333333333,635.2359619140625,230.89918518066406,685.4873046875,280.1084899902344,660.3616333007812,255.50383758544922,0.8938929438591003,0,898,506,30.0,cfr
35,1.1666666666666667,631.204833984375,234.98074340820312,682.7767944335938,287.5290832519531,656.9908142089844,261.2549133300781,0.623952329158783,0,898,506,30.0,cfr
36,1.2,625.4689331054688,242.36920166015625,678.6198120117188,292.88616943359375,652.0443725585938,267.627685546875,0.8654705286026001,0,898,506,30.0,cfr
37,1.2333333333333334,619.509765625,250.71176147460938,672.005126953125,302.7231140136719,645.7574462890625,276.7174377441406,0.9025097489356995,0,898,506,30.0,cfr
38,1.2666666666666666,611.825927734375,260.477783203125,662.655517578125,313.4007263183594,637.24072265625,286.9392547607422,0.6954523324966431,0,898,506,30.0,cfr
39,1.3,598.8589477539062,274.1330871582031,651.1839599609375,325.3832702636719,625.0214538574219,299.7581787109375,0.8023586273193359,0,898,506,30.0,cfr
40,1.3333333333333333,584.1060791015625,288.1770324707031,634.8253173828125,339.8408203125,609.4656982421875,314.00892639160156,0.8462976217269897,0,898,506,30.0,cfr
41,1.3666666666666667,562.5211791992188,303.7820129394531,616.5824584960938,355.1938171386719,589.5518188476562,329.4879150390625,0.6484242081642151,0,898,506,30.0,cfr
42,1.4,537.8121337890625,318.3572692871094,589.434814453125,370.0133972167969,563.6234741210938,344.1853332519531,0.9400053024291992,0,898,506,30.0,cfr
43,1.4333333333333333,505.7868957519531,333.11968994140625,555.8574829101562,384.0778503417969,530.8221893310547,358.59877014160156,0.8873408436775208,0,898,506,30.0,cfr
